bot_id,suggested_customer_no,bot_type,portfolio_id_rule,initial_capital,remark
bot10,SIMACCT0001,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot101,SIMACCT0002,多基金配置,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot102,SIMACCT0003,多基金配置,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot103,SIMACCT0004,多基金配置,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot11,SIMACCT0005,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot12,SIMACCT0006,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot14,SIMACCT0007,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot15,SIMACCT0008,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot16,SIMACCT0009,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot18,SIMACCT0010,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot19,SIMACCT0011,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot20,SIMACCT0012,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot4,SIMACCT0013,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot6,SIMACCT0014,单基金择时,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
bot_multi,SIMACCT0015,多资产配置,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
multi_asset_allocation_bot,SIMACCT0016,多资产配置,customer_no + '_' + order_run_id,1000000,"建议值，待贵方确认；组合号由(bot_id,run_id)派生"
