customer_no,portfolio_id,trade_date,net_value,total_asset,market_value,cash,cash_weight,noncash_ratio,cum_return_pct,max_drawdown_pct
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-03,1.0,1000000.0,0.0,1000000.0,1.0,0.0,0.0,0.0
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-04,1.002951,1002951.25,602951.25,400000.0,0.398823,0.601177,0.2951,0.0
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-05,1.00269,1002690.16,602690.16,400000.0,0.398927,0.601073,0.269,-0.026
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-06,1.001897,1001897.26,601897.26,400000.0,0.399243,0.600757,0.1897,-0.1051
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-09,1.005812,1005812.08,605812.08,400000.0,0.397689,0.602311,0.5812,-0.1051
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-10,1.00423,1004230.19,604230.19,400000.0,0.398315,0.601685,0.423,-0.1573
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-11,1.007232,1007232.03,607232.03,400000.0,0.397128,0.602872,0.7232,-0.1573
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-12,1.010272,1010271.64,610271.64,400000.0,0.395933,0.604067,1.0272,-0.1573
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-13,1.004793,1004792.55,604792.55,400000.0,0.398092,0.601908,0.4793,-0.5424
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-16,1.005457,1005456.52,605456.52,400000.0,0.397829,0.602171,0.5457,-0.5423
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-17,1.002231,1002231.43,602231.43,400000.0,0.399109,0.600891,0.2231,-0.7959
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-18,1.002339,1002338.77,602338.77,400000.0,0.399067,0.600933,0.2339,-0.7959
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-19,0.996922,996921.68,596921.68,400000.0,0.401235,0.598765,-0.3078,-1.3215
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-20,0.997817,997817.46,597817.46,400000.0,0.400875,0.599125,-0.2183,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-23,1.000157,1000157.33,600157.33,400000.0,0.399937,0.600063,0.0157,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-24,1.006773,1006773.25,606773.25,400000.0,0.397309,0.602691,0.6773,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-25,1.014578,1014578.1,614578.1,400000.0,0.394253,0.605747,1.4578,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-26,1.011695,1011694.54,611694.54,400000.0,0.395376,0.604624,1.1695,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-27,1.009113,1009113.41,609113.41,400000.0,0.396388,0.603612,0.9113,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-06-30,1.01247,1012470.14,612470.14,400000.0,0.395073,0.604927,1.247,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-01,1.015464,1015464.0,615464.0,400000.0,0.393909,0.606091,1.5464,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-02,1.014064,1014063.55,614063.55,400000.0,0.394453,0.605547,1.4064,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-03,1.019289,1019288.57,619288.57,400000.0,0.392431,0.607569,1.9289,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-04,1.021698,1021698.04,621698.04,400000.0,0.391505,0.608495,2.1698,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-07,1.017729,1017729.25,617729.25,400000.0,0.393032,0.606968,1.7729,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-08,1.022153,1022153.36,622153.36,400000.0,0.391331,0.608669,2.2153,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-09,1.022088,1022087.66,622087.66,400000.0,0.391356,0.608644,2.2088,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-10,1.025287,1025286.67,625286.67,400000.0,0.390135,0.609865,2.5287,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-11,1.028424,1028424.29,628424.29,400000.0,0.388945,0.611055,2.8424,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-14,1.029641,1029641.43,525170.9,504470.53,0.489948,0.510052,2.9641,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-15,1.029827,1029826.81,525356.29,504470.53,0.48986,0.51014,2.9827,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-16,1.028751,1028750.89,524280.36,504470.53,0.490372,0.509628,2.8751,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-17,1.032386,1032386.25,527915.72,504470.53,0.488645,0.511355,3.2386,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-18,1.035985,1035984.52,531513.99,504470.53,0.486948,0.513052,3.5985,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-21,1.039435,1039434.58,534964.05,504470.53,0.485332,0.514668,3.9435,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-22,1.043627,1043626.56,539156.03,504470.53,0.483382,0.516618,4.3627,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-23,1.043849,1043849.23,539378.7,504470.53,0.483279,0.516721,4.3849,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-24,1.047485,1047484.64,543014.11,504470.53,0.481602,0.518398,4.7485,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-25,1.044962,1044962.34,540491.81,504470.53,0.482764,0.517236,4.4962,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-28,1.046113,1046112.51,541641.98,504470.53,0.482234,0.517766,4.6113,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-29,1.04819,1048189.71,543719.18,504470.53,0.481278,0.518722,4.819,-1.3214
SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,2025-07-30,1.048116,1048115.76,543645.23,504470.53,0.481312,0.518688,4.8116,-1.3214
