fund_code,fund_name,nav_date,nav
000596,前海开源中证军工指数A,2025-06-03,1.583
000596,前海开源中证军工指数A,2025-06-04,1.581
000596,前海开源中证军工指数A,2025-06-05,1.587
000596,前海开源中证军工指数A,2025-06-06,1.583
000596,前海开源中证军工指数A,2025-06-09,1.604
000596,前海开源中证军工指数A,2025-06-10,1.577
000596,前海开源中证军工指数A,2025-06-11,1.584
000596,前海开源中证军工指数A,2025-06-12,1.575
000596,前海开源中证军工指数A,2025-06-13,1.593
000596,前海开源中证军工指数A,2025-06-16,1.595
000596,前海开源中证军工指数A,2025-06-17,1.596
000596,前海开源中证军工指数A,2025-06-18,1.605
000596,前海开源中证军工指数A,2025-06-19,1.582
000596,前海开源中证军工指数A,2025-06-20,1.565
000596,前海开源中证军工指数A,2025-06-23,1.591
000596,前海开源中证军工指数A,2025-06-24,1.598
000596,前海开源中证军工指数A,2025-06-25,1.645
000596,前海开源中证军工指数A,2025-06-26,1.648
000596,前海开源中证军工指数A,2025-06-27,1.66
000596,前海开源中证军工指数A,2025-06-30,1.725
000596,前海开源中证军工指数A,2025-07-01,1.723
000596,前海开源中证军工指数A,2025-07-02,1.689
000596,前海开源中证军工指数A,2025-07-03,1.693
000596,前海开源中证军工指数A,2025-07-04,1.682
000596,前海开源中证军工指数A,2025-07-07,1.685
000596,前海开源中证军工指数A,2025-07-08,1.697
000596,前海开源中证军工指数A,2025-07-09,1.683
000596,前海开源中证军工指数A,2025-07-10,1.678
000596,前海开源中证军工指数A,2025-07-11,1.7
000596,前海开源中证军工指数A,2025-07-14,1.691
000596,前海开源中证军工指数A,2025-07-15,1.687
000596,前海开源中证军工指数A,2025-07-16,1.684
000596,前海开源中证军工指数A,2025-07-17,1.727
000596,前海开源中证军工指数A,2025-07-18,1.742
000596,前海开源中证军工指数A,2025-07-21,1.758
000596,前海开源中证军工指数A,2025-07-22,1.758
000596,前海开源中证军工指数A,2025-07-23,1.736
000596,前海开源中证军工指数A,2025-07-24,1.766
000596,前海开源中证军工指数A,2025-07-25,1.768
000596,前海开源中证军工指数A,2025-07-28,1.792
000596,前海开源中证军工指数A,2025-07-29,1.81
000596,前海开源中证军工指数A,2025-07-30,1.789
000596,前海开源中证军工指数A,2025-07-31,1.781
000596,前海开源中证军工指数A,2025-08-01,1.758
000596,前海开源中证军工指数A,2025-08-04,1.799
000596,前海开源中证军工指数A,2025-08-05,1.811
000596,前海开源中证军工指数A,2025-08-06,1.863
000596,前海开源中证军工指数A,2025-08-07,1.855
000596,前海开源中证军工指数A,2025-08-08,1.849
000596,前海开源中证军工指数A,2025-08-11,1.861
000596,前海开源中证军工指数A,2025-08-12,1.847
000596,前海开源中证军工指数A,2025-08-13,1.872
000596,前海开源中证军工指数A,2025-08-14,1.842
000596,前海开源中证军工指数A,2025-08-15,1.863
000596,前海开源中证军工指数A,2025-08-18,1.899
000596,前海开源中证军工指数A,2025-08-19,1.87
000596,前海开源中证军工指数A,2025-08-20,1.882
000596,前海开源中证军工指数A,2025-08-21,1.872
000596,前海开源中证军工指数A,2025-08-22,1.911
000596,前海开源中证军工指数A,2025-08-25,1.947
000596,前海开源中证军工指数A,2025-08-26,1.935
000596,前海开源中证军工指数A,2025-08-27,1.902
000596,前海开源中证军工指数A,2025-08-28,1.941
000596,前海开源中证军工指数A,2025-08-29,1.956
000596,前海开源中证军工指数A,2025-09-01,1.952
000596,前海开源中证军工指数A,2025-09-02,1.906
000596,前海开源中证军工指数A,2025-09-03,1.808
000596,前海开源中证军工指数A,2025-09-04,1.755
000596,前海开源中证军工指数A,2025-09-05,1.779
000596,前海开源中证军工指数A,2025-09-08,1.789
000596,前海开源中证军工指数A,2025-09-09,1.757
000596,前海开源中证军工指数A,2025-09-10,1.768
000596,前海开源中证军工指数A,2025-09-11,1.804
000596,前海开源中证军工指数A,2025-09-12,1.802
000596,前海开源中证军工指数A,2025-09-15,1.787
000596,前海开源中证军工指数A,2025-09-16,1.779
000596,前海开源中证军工指数A,2025-09-17,1.787
000596,前海开源中证军工指数A,2025-09-18,1.777
000596,前海开源中证军工指数A,2025-09-19,1.793
000596,前海开源中证军工指数A,2025-09-22,1.803
000596,前海开源中证军工指数A,2025-09-23,1.789
000596,前海开源中证军工指数A,2025-09-24,1.807
000596,前海开源中证军工指数A,2025-09-25,1.801
000596,前海开源中证军工指数A,2025-09-26,1.796
000596,前海开源中证军工指数A,2025-09-29,1.804
000596,前海开源中证军工指数A,2025-09-30,1.85
000596,前海开源中证军工指数A,2025-10-09,1.872
000596,前海开源中证军工指数A,2025-10-10,1.852
000596,前海开源中证军工指数A,2025-10-13,1.868
000596,前海开源中证军工指数A,2025-10-14,1.845
000596,前海开源中证军工指数A,2025-10-15,1.846
000596,前海开源中证军工指数A,2025-10-16,1.828
000596,前海开源中证军工指数A,2025-10-17,1.771
000596,前海开源中证军工指数A,2025-10-20,1.776
000596,前海开源中证军工指数A,2025-10-21,1.798
000596,前海开源中证军工指数A,2025-10-22,1.779
000596,前海开源中证军工指数A,2025-10-23,1.771
000596,前海开源中证军工指数A,2025-10-24,1.811
000596,前海开源中证军工指数A,2025-10-27,1.836
000596,前海开源中证军工指数A,2025-10-28,1.854
000596,前海开源中证军工指数A,2025-10-29,1.866
000596,前海开源中证军工指数A,2025-10-30,1.833
000596,前海开源中证军工指数A,2025-10-31,1.809
000596,前海开源中证军工指数A,2025-11-03,1.819
000596,前海开源中证军工指数A,2025-11-04,1.796
000596,前海开源中证军工指数A,2025-11-05,1.791
000596,前海开源中证军工指数A,2025-11-06,1.807
000596,前海开源中证军工指数A,2025-11-07,1.799
000596,前海开源中证军工指数A,2025-11-10,1.795
000596,前海开源中证军工指数A,2025-11-11,1.777
000596,前海开源中证军工指数A,2025-11-12,1.764
000596,前海开源中证军工指数A,2025-11-13,1.774
000596,前海开源中证军工指数A,2025-11-14,1.763
000596,前海开源中证军工指数A,2025-11-17,1.785
000596,前海开源中证军工指数A,2025-11-18,1.763
000596,前海开源中证军工指数A,2025-11-19,1.773
000596,前海开源中证军工指数A,2025-11-20,1.756
000596,前海开源中证军工指数A,2025-11-21,1.722
000596,前海开源中证军工指数A,2025-11-24,1.784
000596,前海开源中证军工指数A,2025-11-25,1.778
000596,前海开源中证军工指数A,2025-11-26,1.746
000596,前海开源中证军工指数A,2025-11-27,1.743
000596,前海开源中证军工指数A,2025-11-28,1.763
000596,前海开源中证军工指数A,2025-12-01,1.782
000596,前海开源中证军工指数A,2025-12-02,1.777
000596,前海开源中证军工指数A,2025-12-03,1.758
000596,前海开源中证军工指数A,2025-12-04,1.768
000596,前海开源中证军工指数A,2025-12-05,1.809
000596,前海开源中证军工指数A,2025-12-08,1.828
000596,前海开源中证军工指数A,2025-12-09,1.825
000596,前海开源中证军工指数A,2025-12-10,1.839
000596,前海开源中证军工指数A,2025-12-11,1.834
000596,前海开源中证军工指数A,2025-12-12,1.853
000596,前海开源中证军工指数A,2025-12-15,1.868
000596,前海开源中证军工指数A,2025-12-16,1.843
000596,前海开源中证军工指数A,2025-12-17,1.843
000596,前海开源中证军工指数A,2025-12-18,1.862
000596,前海开源中证军工指数A,2025-12-19,1.886
000596,前海开源中证军工指数A,2025-12-22,1.897
000596,前海开源中证军工指数A,2025-12-23,1.871
000596,前海开源中证军工指数A,2025-12-24,1.918
000596,前海开源中证军工指数A,2025-12-25,1.975
000596,前海开源中证军工指数A,2025-12-26,1.998
000596,前海开源中证军工指数A,2025-12-29,2.022
000596,前海开源中证军工指数A,2025-12-30,2.011
000596,前海开源中证军工指数A,2025-12-31,2.054
000596,前海开源中证军工指数A,2026-01-05,2.102
000596,前海开源中证军工指数A,2026-01-06,2.166
000596,前海开源中证军工指数A,2026-01-07,2.152
000596,前海开源中证军工指数A,2026-01-08,2.237
000596,前海开源中证军工指数A,2026-01-09,2.315
000596,前海开源中证军工指数A,2026-01-12,2.447
000596,前海开源中证军工指数A,2026-01-13,2.329
000596,前海开源中证军工指数A,2026-01-14,2.325
000596,前海开源中证军工指数A,2026-01-15,2.26
000596,前海开源中证军工指数A,2026-01-16,2.24
000596,前海开源中证军工指数A,2026-01-19,2.274
000596,前海开源中证军工指数A,2026-01-20,2.212
000596,前海开源中证军工指数A,2026-01-21,2.21
000596,前海开源中证军工指数A,2026-01-22,2.275
000596,前海开源中证军工指数A,2026-01-23,2.339
000596,前海开源中证军工指数A,2026-01-26,2.242
000596,前海开源中证军工指数A,2026-01-27,2.272
000596,前海开源中证军工指数A,2026-01-28,2.239
000596,前海开源中证军工指数A,2026-01-29,2.201
000596,前海开源中证军工指数A,2026-01-30,2.165
000596,前海开源中证军工指数A,2026-02-02,2.125
000596,前海开源中证军工指数A,2026-02-03,2.216
000596,前海开源中证军工指数A,2026-02-04,2.22
000596,前海开源中证军工指数A,2026-02-05,2.192
000596,前海开源中证军工指数A,2026-02-06,2.156
000596,前海开源中证军工指数A,2026-02-09,2.192
000596,前海开源中证军工指数A,2026-02-10,2.197
000596,前海开源中证军工指数A,2026-02-11,2.182
000596,前海开源中证军工指数A,2026-02-12,2.21
000596,前海开源中证军工指数A,2026-02-13,2.214
000596,前海开源中证军工指数A,2026-02-24,2.239
000596,前海开源中证军工指数A,2026-02-25,2.278
