customer_no,sub_account_no,portfolio_id,portfolio_name,fund_code,fund_name,C_BUSINTYPE,busin_type_desc,apply_date,confirm_date,apply_amount,apply_vol,confirm_nav,confirm_vol,confirm_amount,fee,status,src_run_id
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,159858,创新药ETF南方,22,申购,2025-06-03,2025-06-04,100000.0,,0.6302,158552.941842,,79.94,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,000961,天弘沪深300ETF联接A,22,申购,2025-06-03,2025-06-04,250000.0,,1.3465,185481.061827,,249.75,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,000961,天弘沪深300ETF联接A,22,申购,2025-06-03,2025-06-04,250000.0,,1.3465,185481.061827,,249.75,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,159858,创新药ETF南方,24,赎回,2025-07-14,2025-07-15,,158552.94,0.6589,158552.94,104470.53,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,159858,创新药ETF南方,22,申购,2025-08-04,2025-08-05,155000.0,,0.7233,214124.290226,,123.9,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,159858,创新药ETF南方,24,赎回,2025-09-01,2025-09-02,,214124.29,0.7872,214124.29,167715.85,842.79,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,007818,国泰中证全指通信设备ETF联接C,22,申购,2025-09-01,2025-09-02,165000.0,,2.4903,66257.077461,,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,020357,华夏半导体材料设备ETF联接C,22,申购,2025-10-09,2025-10-10,165000.0,,1.9573,84299.800746,,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,007818,国泰中证全指通信设备ETF联接C,24,赎回,2025-10-09,2025-10-10,,66257.07,2.5161,66257.07,166709.41,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,020357,华夏半导体材料设备ETF联接C,24,赎回,2025-10-20,2025-10-21,,84299.8,1.7402,84299.8,146698.51,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,020357,华夏半导体材料设备ETF联接C,22,申购,2025-10-27,2025-10-28,170000.0,,1.8918,89861.507559,,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,020357,华夏半导体材料设备ETF联接C,24,赎回,2025-11-03,2025-11-04,,89861.5,1.7702,89861.5,159072.83,0.0,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,012552,天弘芯片产业ETF联接A,22,申购,2025-11-10,2025-11-11,165000.0,,1.1261,146377.022321,,164.84,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,012552,天弘芯片产业ETF联接A,24,赎回,2025-11-17,2025-11-18,,45916.0,1.0814,45916.0,49504.6,148.96,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,012552,天弘芯片产业ETF联接A,24,赎回,2025-11-24,2025-11-25,,100461.02,1.0333,100461.02,103494.95,311.42,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,000961,天弘沪深300ETF联接A,24,赎回,2025-11-24,2025-11-25,,236130.0,1.5715,236130.0,370892.76,185.54,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,000961,天弘沪深300ETF联接A,24,赎回,2025-11-24,2025-11-25,,134832.0,1.5715,134832.0,211782.54,105.94,confirmed,dash-2026-06-15T02-56-57
SIMACCT0001,SIMACCT0001,SIMACCT0001_dash-2026-06-15T02-56-57,bot102_多基金配置,000961,天弘沪深300ETF联接A,22,申购,2025-12-01,2025-12-02,420000.0,,1.6144,259898.67417,,419.58,confirmed,dash-2026-06-15T02-56-57
