record_type,customer_no,sub_account_no,portfolio_id,portfolio_name,biz_date,confirm_date,fund_code,fund_name,C_BUSINTYPE,busin_type_desc,apply_amount,apply_vol,confirm_nav,confirm_vol,confirm_amount,fee,order_status,net_value,total_asset,market_value,cash,cash_weight,noncash_ratio,cum_return_pct,max_drawdown_pct
position,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-24,,001512,易方达中债3-5年期国债指数,,,20000.0,,1.3877,14412.33696,,,,,,20000.0,,,,,
position,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-24,,001617,天弘中证电子ETF联接A,,,20000.0,,2.2171,9020.792928,,,,,,20000.0,,,,,
position,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-24,,001629,天弘中证计算机ETF联接A,,,20000.0,,0.8913,22439.133849,,,,,,20000.0,,,,,
position,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-24,,012319,东财消费电子指数增强A,,,15000.0,,1.4248,10527.793375,,,,,,15000.0,,,,,
position,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-24,,012837,华安CES半导体芯片行业指数发起A,,,25000.0,,1.0703,23357.937027,,,,,,25000.0,,,,,
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-24,,,,,,,,,,,,,1.0,100000.0,100000.0,0.0,0.0,1.0,0.0,0.0
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-27,,,,,,,,,,,,,1.021484,102148.36,102148.36,0.0,0.0,1.0,2.1484,0.0
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-28,,,,,,,,,,,,,1.011038,101103.83,101103.83,0.0,0.0,1.0,1.1038,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-29,,,,,,,,,,,,,1.014052,101405.22,101405.22,0.0,0.0,1.0,1.4052,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-04-30,,,,,,,,,,,,,1.03079,103078.98,103078.98,0.0,0.0,1.0,3.079,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-06,,,,,,,,,,,,,1.067996,106799.59,106799.59,0.0,0.0,1.0,6.7996,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-07,,,,,,,,,,,,,1.082987,108298.68,108298.68,0.0,0.0,1.0,8.2987,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-08,,,,,,,,,,,,,1.073966,107396.56,107396.56,0.0,0.0,1.0,7.3966,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-11,,,,,,,,,,,,,1.110341,111034.07,111034.07,0.0,0.0,1.0,11.0341,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-12,,,,,,,,,,,,,1.105568,110556.81,110556.81,0.0,0.0,1.0,10.5568,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-13,,,,,,,,,,,,,1.133605,113360.54,113360.54,0.0,0.0,1.0,13.3605,-1.0226
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-14,,,,,,,,,,,,,1.106796,110679.63,110679.63,0.0,0.0,1.0,10.6796,-2.3649
order,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-15,2026-05-18,001512,易方达中债3-5年期国债指数,24,赎回,,6513.5699,1.3897,6513.5699,9006.65,45.26,confirmed,,,,,,,,
order,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-15,2026-05-18,012837,华安 CES 半导体芯片行业指数发起 A,22,申购,271.0,,1.2874,210.501787,,0.0,confirmed,,,,,,,,
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-15,,,,,,,,,,,,,1.097198,109719.8,109719.8,0.0,0.0,1.0,9.7198,-3.2116
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-18,,,,,,,,,,,,,1.109356,110935.56,102199.91,8735.65,0.078745,0.921255,10.9356,-3.2116
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-19,,,,,,,,,,,,,1.129652,112965.16,104229.51,8735.65,0.07733,0.92267,12.9652,-3.2116
order,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-20,2026-05-21,012837,华安CES半导体芯片行业指数发起A,24,赎回,,6112.0299,1.3426,6112.0299,8164.98,41.03,confirmed,,,,,,,,
nav,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-20,,,,,,,,,,,,,1.146516,114651.6,105915.95,8735.65,0.076193,0.923807,14.6516,-3.2116
order,bcb301b7d2e64a31806dd4d7683c0304,SIMACCT0002,SIMACCT0002_live,bot2,2026-05-21,2026-05-22,012837,华安CES半导体芯片行业指数发起A,24,赎回,,1489.647,1.3758,1489.647,2039.21,10.25,confirmed,,,,,,,,
