config_name,window,start,end,base_window,max_base_range_pct,entry_band,entry_low_pct,entry_high_pct,eligible_days,signal_days,raw_signals,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,status_counts_json
base10_width8_open_m3_p2,2019,2019-01-01,2019-12-31,10,8.0,open_m3_p2,-3.0,2.0,79,16,24,24,18,0.7222222222222222,0.6167716721975002,1.1567841228858207,-0.3752462053086839,2.1810109497895236,3.8167938931297747,-5.8309037900874685,"{""breakout_failed"": 2, ""max_hold"": 16, ""no_data"": 6}"
base10_width8_open_m3_p1,2019,2019-01-01,2019-12-31,10,8.0,open_m3_p1,-3.0,1.0,79,16,24,24,16,0.6875,0.33536997506063737,0.6027950552446264,-0.5655351016099208,1.7652966844652798,3.8167938931297747,-5.8309037900874685,"{""breakout_failed"": 2, ""gap_up_skip"": 2, ""max_hold"": 14, ""no_data"": 6}"
base10_width10_open_m3_p2,2019,2019-01-01,2019-12-31,10,10.0,open_m3_p2,-3.0,2.0,79,33,60,58,41,0.6585365853658537,0.5351082392676477,1.3084112149532763,-0.72793448589627,2.726473175021992,7.8333333333333295,-7.999999999999995,"{""breakout_failed"": 4, ""gap_up_skip"": 5, ""max_hold"": 34, ""no_data"": 9, ""stop_hit"": 3, ""weak_open_skip"": 3}"
base10_width10_open_m3_p1,2019,2019-01-01,2019-12-31,10,10.0,open_m3_p1,-3.0,1.0,79,33,60,58,38,0.6578947368421053,0.5141263327558444,1.156136109407143,-0.7195619755333129,2.6586941669807764,7.8333333333333295,-7.999999999999995,"{""breakout_failed"": 4, ""gap_up_skip"": 8, ""max_hold"": 31, ""no_data"": 9, ""stop_hit"": 3, ""weak_open_skip"": 3}"
base10_width12_open_m3_p2,2019,2019-01-01,2019-12-31,10,12.0,open_m3_p2,-3.0,2.0,79,43,97,90,69,0.6086956521739131,0.29965638111625686,0.45523520485584595,-1.094319958311625,2.540415704387998,7.8333333333333295,-7.999999999999995,"{""breakout_failed"": 7, ""gap_up_skip"": 8, ""limit_up_buy_blocked"": 1, ""max_hold"": 58, ""no_data"": 9, ""stop_hit"": 4, ""weak_open_skip"": 3}"
base10_width12_open_m3_p1,2019,2019-01-01,2019-12-31,10,12.0,open_m3_p1,-3.0,1.0,79,43,97,90,59,0.6101694915254238,0.3858528941288242,0.45523520485584595,-0.7427551217360113,2.497886423622564,7.8333333333333295,-7.999999999999995,"{""breakout_failed"": 6, ""gap_up_skip"": 18, ""limit_up_buy_blocked"": 1, ""max_hold"": 49, ""no_data"": 9, ""stop_hit"": 4, ""weak_open_skip"": 3}"
base10_width14_open_m3_p2,2019,2019-01-01,2019-12-31,10,14.0,open_m3_p2,-3.0,2.0,79,50,132,122,95,0.5052631578947369,-0.33064876290340306,0.06671114076050558,-2.8635436291401,2.3333296770796688,9.749373433583962,-9.76303317535546,"{""breakout_failed"": 10, ""gap_up_skip"": 12, ""limit_up_buy_blocked"": 1, ""max_hold"": 76, ""no_data"": 9, ""stop_hit"": 9, ""weak_open_skip"": 5}"
base10_width14_open_m3_p1,2019,2019-01-01,2019-12-31,10,14.0,open_m3_p1,-3.0,1.0,79,50,132,122,79,0.5063291139240507,-0.1741206548599648,0.06671114076050558,-1.7565294298399068,1.8134826778858528,9.749373433583962,-7.999999999999999,"{""breakout_failed"": 8, ""gap_up_skip"": 28, ""limit_up_buy_blocked"": 1, ""max_hold"": 64, ""no_data"": 9, ""stop_hit"": 7, ""weak_open_skip"": 5}"
base10_width16_open_m3_p2,2019,2019-01-01,2019-12-31,10,16.0,open_m3_p2,-3.0,2.0,79,61,190,170,131,0.5038167938931297,-0.13376732665454447,0.06671114076050558,-2.7165245128631827,2.464476792662585,15.671641791044774,-10.161870503597115,"{""breakout_failed"": 12, ""gap_up_skip"": 19, ""limit_up_buy_blocked"": 1, ""max_hold"": 105, ""no_data"": 10, ""stop_hit"": 14, ""weak_open_skip"": 9}"
base10_width16_open_m3_p1,2019,2019-01-01,2019-12-31,10,16.0,open_m3_p1,-3.0,1.0,79,61,190,170,111,0.5045045045045045,-0.0036930573825124428,0.06671114076050558,-1.9778022197780176,2.067552275021149,15.671641791044774,-10.161870503597115,"{""breakout_failed"": 10, ""gap_up_skip"": 39, ""limit_up_buy_blocked"": 1, ""max_hold"": 90, ""no_data"": 10, ""stop_hit"": 11, ""weak_open_skip"": 9}"
