config_name,windows,windows_triggered_ge20,total_triggered,weighted_avg_pnl,avg_median_pnl,min_median_pnl,avg_p25_pnl,min_p25_pnl,base_window,max_base_range_pct,entry_band
base10_width10_open_m3_p2,4,4,430,0.47772573091260384,0.43611744703727107,-0.08880994671403007,-1.6703489843500892,-2.214022140221404,10,10.0,open_m3_p2
base20_width14_open_m3_p2,4,4,362,0.9682852556328727,0.41420753970642693,-0.2127659574468103,-1.5362965759922886,-2.777151548489696,20,14.0,open_m3_p2
base10_width10_open_m3_p1,4,4,386,0.36756051993900796,0.3685923250715747,-0.2817668091208385,-1.751259664430903,-2.442448062886012,10,10.0,open_m3_p1
base15_width12_open_m3_p2,4,4,338,0.9390323300077027,0.33773597083346496,0.1675041876046965,-1.3808658008722239,-2.2181221812218106,15,12.0,open_m3_p2
base20_width14_open_m3_p1,4,4,315,0.9026261899276217,0.32747627994326073,-0.2127659574468103,-1.7850764278461146,-3.043340483619354,20,14.0,open_m3_p1
base20_width18_open_m3_p1,4,4,572,0.8598637483476981,0.2439802218964991,-0.4366812227074354,-1.8228317062299162,-2.8957528957528855,20,18.0,open_m3_p1
base20_width16_open_m3_p2,4,4,504,0.905038976714016,0.21575429154097822,-0.6259780907668238,-1.8153974378369773,-3.016120644825803,20,16.0,open_m3_p2
base10_width12_open_m3_p1,4,4,550,0.4211212492543454,0.19175543317092236,-0.17271208686314682,-2.0628709646216574,-2.8528550833675355,10,12.0,open_m3_p1
base20_width18_open_m3_p2,4,4,664,0.6977377509089691,0.17986193507907391,-0.444444444444435,-1.9229526532957866,-3.2730308273373723,20,18.0,open_m3_p2
base15_width12_open_m3_p1,4,4,296,0.7460526381581776,0.1753553858297557,-0.09470294841844641,-1.3736156055434943,-2.249532526326141,15,12.0,open_m3_p1
base10_width12_open_m3_p2,4,4,635,0.4673759196514067,0.16392226383347067,-0.422979410742403,-2.06884480548737,-2.8625641910587687,10,12.0,open_m3_p2
base20_width16_open_m3_p1,4,4,438,0.9795114594953809,0.15554057013944725,-0.6078952116032494,-1.8398192395198427,-2.936464279380434,20,16.0,open_m3_p1
base25_width16_open_m3_p2,4,4,371,0.747799045331838,0.1460728310039753,-0.08450332765492322,-1.5806106394985968,-2.310606060606052,25,16.0,open_m3_p2
