config_name,window,start,end,eligible_days,signal_days,raw_signals,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,min_breakout_pct,min_volume_ratio,min_amount_yi,status_counts_json
bo1_vr1_amt0,2019,2019-01-01,2019-12-31,79,61,294,203,167,0.5089820359281437,0.036611491768216126,0.12121212121211863,-1.9685370698323963,1.9411505405411997,21.03559870550163,-9.214501510574022,1.0,1.0,0.0,"{""breakout_failed"": 28, ""gap_up_skip"": 19, ""limit_up_buy_blocked"": 2, ""max_hold"": 131, ""no_data"": 10, ""stop_hit"": 8, ""weak_open_skip"": 5}"
bo1_vr1_amt1,2019,2019-01-01,2019-12-31,79,51,172,142,111,0.5675675675675675,0.4878437873747425,0.5591978403393736,-1.2213100994906023,2.5807525807525815,13.2899022801303,-8.0,1.0,1.0,1.0,"{""breakout_failed"": 11, ""gap_up_skip"": 16, ""max_hold"": 94, ""no_data"": 10, ""stop_hit"": 6, ""weak_open_skip"": 5}"
bo1_vr1_amt3,2019,2019-01-01,2019-12-31,79,33,73,69,52,0.6730769230769231,1.0188161963302096,0.9520988524879118,-0.5904478746121552,2.6386596828585813,7.8333333333333295,-5.4535336672231525,1.0,1.0,3.0,"{""breakout_failed"": 6, ""gap_up_skip"": 9, ""max_hold"": 46, ""no_data"": 7, ""weak_open_skip"": 1}"
bo1_vr1_amt5,2019,2019-01-01,2019-12-31,79,27,50,46,34,0.6470588235294118,0.8204940717142385,0.5476954349149954,-0.7319372766970997,2.096264676909834,7.8333333333333295,-3.450963718820859,1.0,1.0,5.0,"{""breakout_failed"": 4, ""gap_up_skip"": 7, ""max_hold"": 30, ""no_data"": 4, ""weak_open_skip"": 1}"
bo1_vr1.25_amt0,2019,2019-01-01,2019-12-31,79,61,280,198,162,0.5123456790123457,0.02204884105634034,0.12252556525003186,-2.2147453310885874,1.8075270982247695,21.03559870550163,-9.214501510574022,1.0,1.25,0.0,"{""breakout_failed"": 26, ""gap_up_skip"": 19, ""limit_up_buy_blocked"": 2, ""max_hold"": 128, ""no_data"": 10, ""stop_hit"": 8, ""weak_open_skip"": 5}"
bo1_vr1.25_amt1,2019,2019-01-01,2019-12-31,79,51,166,139,108,0.5648148148148148,0.46117136971754136,0.5476954349149954,-1.2731966532752954,2.5724275724275727,13.2899022801303,-8.0,1.0,1.25,1.0,"{""breakout_failed"": 10, ""gap_up_skip"": 16, ""max_hold"": 92, ""no_data"": 10, ""stop_hit"": 6, ""weak_open_skip"": 5}"
bo1_vr1.25_amt3,2019,2019-01-01,2019-12-31,79,31,69,65,48,0.6666666666666666,1.0124071889054465,0.9520988524879118,-0.5904478746121552,2.6386596828585813,7.8333333333333295,-5.4535336672231525,1.0,1.25,3.0,"{""breakout_failed"": 5, ""gap_up_skip"": 9, ""max_hold"": 43, ""no_data"": 7, ""weak_open_skip"": 1}"
bo1_vr1.25_amt5,2019,2019-01-01,2019-12-31,79,26,48,44,32,0.65625,0.9068618208307508,0.6660436288498266,-0.6806603149397938,2.2398720073138683,7.8333333333333295,-3.450963718820859,1.0,1.25,5.0,"{""breakout_failed"": 3, ""gap_up_skip"": 7, ""max_hold"": 29, ""no_data"": 4, ""weak_open_skip"": 1}"
bo1_vr1.5_amt0,2019,2019-01-01,2019-12-31,79,60,245,190,154,0.512987012987013,0.10553613699710265,0.12252556525003186,-2.2147453310885874,2.176855546318316,21.03559870550163,-8.0,1.0,1.5,0.0,"{""breakout_failed"": 24, ""gap_up_skip"": 19, ""limit_up_buy_blocked"": 2, ""max_hold"": 123, ""no_data"": 10, ""stop_hit"": 7, ""weak_open_skip"": 5}"
bo1_vr1.5_amt1,2019,2019-01-01,2019-12-31,79,50,151,133,102,0.5490196078431373,0.4576749312368261,0.48102109977909235,-1.178752403371002,2.589077589077591,13.2899022801303,-8.0,1.0,1.5,1.0,"{""breakout_failed"": 9, ""gap_up_skip"": 16, ""max_hold"": 87, ""no_data"": 10, ""stop_hit"": 6, ""weak_open_skip"": 5}"
