config_name,windows,windows_triggered_ge20,total_triggered,weighted_avg_pnl,avg_median_pnl,min_median_pnl,avg_p25_pnl,min_p25_pnl,min_breakout_pct,min_volume_ratio,min_amount_yi
bo2_vr1.5_amt5,4,4,378,0.8740911094340966,0.46827967201169307,0.0,-1.8343192174733158,-3.015598010855114,2.0,1.5,5.0
bo2_vr2_amt3,4,4,486,0.6850319882040199,0.40902252860718513,-0.18656716417908947,-1.8157905109842276,-2.8889662373825336,2.0,2.0,3.0
bo2_vr1.25_amt5,4,4,393,0.8470681713045253,0.3935203637273895,-0.15822784810126805,-1.8340176192105435,-3.015336693869769,2.0,1.25,5.0
bo2_vr1.5_amt3,4,4,536,0.6373912468651604,0.39226269206209624,-0.12851966383725363,-1.7897032925085865,-2.89206316933284,2.0,1.5,3.0
bo2_vr2.5_amt3,4,4,393,0.7533569708358973,0.3538181383351761,-0.2060442737850145,-1.949158980744109,-2.8951601012831465,2.0,2.5,3.0
bo2_vr1_amt5,4,4,400,0.8131701072288864,0.3374070827467287,-0.15822784810126805,-1.8469991818808587,-3.015336693869769,2.0,1.0,5.0
bo2_vr1.25_amt3,4,4,552,0.6185466049786095,0.33303770425541274,-0.12851966383725363,-1.8121515152891796,-2.89206316933284,2.0,1.25,3.0
bo3_vr1.5_amt3,4,4,456,0.5160941941221856,0.3188932512755871,-0.4366812227074354,-1.9248885768610173,-2.958214671034092,3.0,1.5,3.0
bo3_vr1.25_amt3,4,4,463,0.4975381376763102,0.3152223023445508,-0.4366812227074354,-1.9817506788304362,-2.958214671034092,3.0,1.25,3.0
bo1_vr2.5_amt3,4,4,425,0.7060898130158746,0.2936340583160373,-0.3699840591974437,-1.9817984888268565,-2.8951601012831465,1.0,2.5,3.0
bo1_vr1.5_amt5,4,4,434,0.7357028611586479,0.29352008188215767,-0.3432198776999899,-1.9449006993907585,-3.0158593278404586,1.0,1.5,5.0
bo3_vr2_amt3,4,4,423,0.5207088696385512,0.29035010929055216,-0.4366812227074354,-1.9866337581516857,-2.9013539651837594,3.0,2.0,3.0
bo2_vr1_amt3,4,4,561,0.58599620781506,0.2700273809599459,-0.12851966383725363,-1.8314419536286377,-2.89206316933284,2.0,1.0,3.0
bo1_vr1.25_amt5,4,4,458,0.7387597317797562,0.24459608513767284,-0.3699840591974437,-1.9172741808870826,-3.015598010855114,1.0,1.25,5.0
bo1_vr2_amt5,4,4,375,0.7708659625006535,0.2268241491232308,-0.15822784810126805,-1.9832294015258765,-3.015336693869769,1.0,2.0,5.0
bo3_vr1_amt3,4,4,470,0.4764122492549333,0.2147689066012386,-0.4366812227074354,-1.9663567647603324,-2.958214671034092,3.0,1.0,3.0
bo1_vr2_amt3,4,4,521,0.5952362298637446,0.1914131189062317,-0.2515114301908128,-1.947312552933674,-2.8869162916598388,1.0,2.0,3.0
bo1_vr1.25_amt3,4,4,622,0.5237209126052447,0.17725795998346555,-0.2515114301908128,-1.88674465183813,-2.866457193809992,1.0,1.25,3.0
bo1_vr1_amt5,4,4,478,0.6902343564316158,0.16897158583217697,-0.3977579870455321,-1.9178939240180062,-3.015336693869769,1.0,1.0,5.0
bo1_vr1.5_amt3,4,4,592,0.5380549287896166,0.16796712711398878,-0.17774018304663802,-1.9262248690799708,-2.8828164002144483,1.0,1.5,3.0
bo1_vr1_amt3,4,4,644,0.4939644291546289,0.14170885877809342,-0.3164556962025361,-1.9035952751419993,-2.852147933128231,1.0,1.0,3.0
bo4_vr1.25_amt3,4,4,368,0.3758405237007182,0.07878262933107621,-1.4317594647411458,-2.1905213066863816,-3.0158593278404586,4.0,1.25,3.0
bo2_vr1.25_amt1,4,4,779,0.3960017589351978,0.0024580627089273686,-0.4366812227074354,-2.3909073380065826,-2.9013539651837594,2.0,1.25,1.0
bo2_vr1.5_amt1,4,4,763,0.4122320299497568,-0.0008355971252132638,-0.4366812227074354,-2.3909049875677635,-2.9013539651837594,2.0,1.5,1.0
bo3_vr1_amt1,4,4,678,0.37615733329094037,-0.0030627011677958962,-0.5893909626719106,-2.5734334047242347,-3.015075376884425,3.0,1.0,1.0
bo2_vr1_amt1,4,4,790,0.3870027911759771,-0.005937979217769902,-0.4366812227074354,-2.3715029904408502,-2.9013539651837594,2.0,1.0,1.0
bo4_vr1_amt3,4,4,373,0.3603247062109421,-0.009978243011884047,-1.4317594647411458,-2.169308910225591,-3.0158593278404586,4.0,1.0,3.0
bo1_vr1_amt1,4,4,889,0.427374489764251,-0.013022227160332689,-0.431106568800528,-2.2446921984647163,-2.8378386724464697,1.0,1.0,1.0
bo3_vr1.25_amt1,4,4,673,0.3761347521682048,-0.022029119796543373,-0.5893909626719106,-2.5831387922490157,-3.015075376884425,3.0,1.25,1.0
