config_name,window,start,end,eligible_days,signal_days,raw_signals,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,avg_hold_days,base_window,max_base_range_pct,min_breakout_pct,min_volume_ratio,entry_low_pct,entry_high_pct,stop_pct,failure_buffer_pct,take_profit_pct,max_hold_days,min_ret20_pct,min_rel20_pct,status_counts_json
base_sr_hold2_e-2_0,2015,2015-01-01,2015-12-31,88,17,30,30,25,0.88,3.9661276725016252,2.8864970645792556,0.552486187845292,6.479690522243713,17.280163599182018,-3.300521134916041,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""gap_up_skip"": 4, ""max_hold"": 25, ""weak_open_skip"": 1}"
strict_base_range10,2015,2015-01-01,2015-12-31,88,1,1,1,1,1.0,0.1512096774193606,0.1512096774193606,0.1512096774193606,0.1512096774193606,0.1512096774193606,0.1512096774193606,2.0,20,10.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""max_hold"": 1}"
take_profit3,2015,2015-01-01,2015-12-31,88,17,30,30,25,0.88,1.9917853631855633,3.0,1.2918379330593004,3.0,3.0,-3.300521134916041,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,3.0,2,10.0,5.0,"{""gap_up_skip"": 4, ""max_hold"": 7, ""take_profit"": 18, ""weak_open_skip"": 1}"
hold3_tp5,2015,2015-01-01,2015-12-31,88,17,30,30,25,0.8,2.9069787861973437,5.0,2.651933701657441,5.0,5.0,-6.079907353792708,2.44,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,3,10.0,5.0,"{""gap_up_skip"": 4, ""max_hold"": 9, ""take_profit"": 16, ""weak_open_skip"": 1}"
base_sr_hold2_e-2_0,2019,2019-01-01,2019-12-31,79,48,134,122,92,0.5652173913043478,0.4355478761898911,0.5476954349149954,-1.2731966532752954,2.2398720073138683,13.2899022801303,-8.0,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 6, ""gap_up_skip"": 15, ""max_hold"": 80, ""no_data"": 10, ""stop_hit"": 6, ""weak_open_skip"": 5}"
strict_base_range10,2019,2019-01-01,2019-12-31,79,13,18,18,13,0.6923076923076923,0.15288787056132724,1.0819165378670832,-1.2068965517241275,1.6263387544625154,3.298070939639086,-4.929322218194996,2.0,20,10.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 2, ""gap_up_skip"": 3, ""max_hold"": 11, ""no_data"": 2}"
take_profit3,2019,2019-01-01,2019-12-31,79,48,134,122,92,0.5978260869565217,0.21858994750457664,1.2857038236385117,-1.2731966532752954,3.0,3.0,-8.0,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,3.0,2,10.0,5.0,"{""breakout_failed"": 6, ""gap_up_skip"": 15, ""max_hold"": 42, ""no_data"": 10, ""stop_hit"": 6, ""take_profit"": 38, ""weak_open_skip"": 5}"
hold3_tp5,2019,2019-01-01,2019-12-31,79,48,134,122,92,0.5869565217391305,0.5106798998146869,0.7521182746957693,-1.873330257609736,5.0,5.0,-8.0,2.641304347826087,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,3,10.0,5.0,"{""breakout_failed"": 10, ""gap_up_skip"": 15, ""max_hold"": 42, ""no_data"": 10, ""stop_hit"": 9, ""take_profit"": 31, ""weak_open_skip"": 5}"
base_sr_hold2_e-2_0,2020,2020-01-01,2020-12-31,115,83,261,221,180,0.5055555555555555,0.10398107044099784,0.11335904601337742,-2.5738518774021832,2.3561948229536487,22.702702702702698,-12.140575079872201,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 17, ""gap_up_skip"": 32, ""limit_up_buy_blocked"": 2, ""max_hold"": 149, ""no_data"": 3, ""stop_hit"": 14, ""weak_open_skip"": 4}"
strict_base_range10,2020,2020-01-01,2020-12-31,115,24,34,34,25,0.36,-0.863351585191351,-0.6433166547533943,-3.2258064516129057,2.26570545829041,10.169491525423727,-11.167512690355329,2.0,20,10.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 3, ""gap_up_skip"": 7, ""limit_up_buy_blocked"": 1, ""max_hold"": 19, ""stop_hit"": 3, ""weak_open_skip"": 1}"
