filter_name,window,start,end,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,status_counts_json
all,2015,2015-01-01,2015-12-31,30,25,0.88,3.9661276725016252,2.8864970645792556,0.552486187845292,6.479690522243713,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 4, ""max_hold"": 25, ""weak_open_skip"": 1}"
top1,2015,2015-01-01,2015-12-31,17,13,0.7692307692307693,3.556558191759589,1.950354609929084,0.0896860986547066,4.570682337577545,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 13, ""weak_open_skip"": 1}"
top2,2015,2015-01-01,2015-12-31,23,19,0.8421052631578947,3.962071614243373,2.8756957328385946,0.2827871591516648,5.5251864299106295,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 19, ""weak_open_skip"": 1}"
top3,2015,2015-01-01,2015-12-31,28,23,0.8695652173913043,3.950243808064332,2.8864970645792556,0.8531012869716347,5.5251864299106295,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 4, ""max_hold"": 23, ""weak_open_skip"": 1}"
hot_rank1,2015,2015-01-01,2015-12-31,4,3,1.0,3.0277693685490092,3.450258769407693,2.745537547969149,3.5212458895582115,3.59223300970873,2.0408163265306047,"{""gap_up_skip"": 1, ""max_hold"": 3}"
not_hot_rank1,2015,2015-01-01,2015-12-31,26,22,0.8636363636363636,4.094085623040618,2.881096398708925,0.4488950276242998,6.546929929830993,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 22, ""weak_open_skip"": 1}"
top1_hot_rank1,2015,2015-01-01,2015-12-31,3,2,1.0,2.745537547969149,2.745537547969149,2.393176937249877,3.097898158688421,3.450258769407693,2.0408163265306047,"{""gap_up_skip"": 1, ""max_hold"": 2}"
top1_not_hot_rank1,2015,2015-01-01,2015-12-31,16,12,0.75,3.6828700138620043,1.1823596254065265,0.016296174398773705,5.070347519606514,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 12, ""weak_open_skip"": 1}"
top2_hot_rank1,2015,2015-01-01,2015-12-31,4,3,1.0,3.0277693685490092,3.450258769407693,2.745537547969149,3.5212458895582115,3.59223300970873,2.0408163265306047,"{""gap_up_skip"": 1, ""max_hold"": 3}"
top2_not_hot_rank1,2015,2015-01-01,2015-12-31,22,18,0.8333333333333334,3.8999331956794467,2.790940649924452,0.2169984182855127,6.00243847607717,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 18, ""weak_open_skip"": 1}"
hot_rank2,2015,2015-01-01,2015-12-31,5,4,1.0,6.14597781048896,3.5212458895582115,3.097898158688421,6.569325541358751,15.500603136308811,2.0408163265306047,"{""gap_up_skip"": 1, ""max_hold"": 4}"
not_hot_rank2,2015,2015-01-01,2015-12-31,25,21,0.8571428571428571,3.550918122408799,2.8756957328385946,0.414364640883969,6.479690522243713,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 21, ""weak_open_skip"": 1}"
top1_hot_rank2,2015,2015-01-01,2015-12-31,4,3,1.0,6.997226077415704,3.450258769407693,2.745537547969149,9.475430952858252,15.500603136308811,2.0408163265306047,"{""gap_up_skip"": 1, ""max_hold"": 3}"
top1_not_hot_rank2,2015,2015-01-01,2015-12-31,15,11,0.7272727272727273,2.6085306390941123,0.414364640883969,-0.05709374985715918,4.195589804325469,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 11, ""weak_open_skip"": 1}"
top2_hot_rank2,2015,2015-01-01,2015-12-31,5,4,1.0,6.14597781048896,3.5212458895582115,3.097898158688421,6.569325541358751,15.500603136308811,2.0408163265306047,"{""gap_up_skip"": 1, ""max_hold"": 4}"
top2_not_hot_rank2,2015,2015-01-01,2015-12-31,21,17,0.8235294117647058,3.2175408462306603,2.706185567010309,0.1512096774193606,4.570682337577545,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 17, ""weak_open_skip"": 1}"
hot_rank3,2015,2015-01-01,2015-12-31,6,5,0.8,4.876007528717363,3.450258769407693,2.0408163265306047,3.59223300970873,15.500603136308811,-0.20387359836902497,"{""gap_up_skip"": 1, ""max_hold"": 5}"
not_hot_rank3,2015,2015-01-01,2015-12-31,24,20,0.9,3.7386577084476906,2.881096398708925,0.5179558011049613,6.502103658106139,17.280163599182018,-3.300521134916041,"{""gap_up_skip"": 3, ""max_hold"": 20, ""weak_open_skip"": 1}"
top1_hot_rank3,2015,2015-01-01,2015-12-31,5,4,0.75,5.196951158469521,2.745537547969149,1.4796438453056973,6.4628448611329725,15.500603136308811,-0.20387359836902497,"{""gap_up_skip"": 1, ""max_hold"": 4}"
