config_name,window,start,end,eligible_days,signal_days,raw_signals,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,avg_hold_days,base_window,max_base_range_pct,min_breakout_pct,min_volume_ratio,entry_low_pct,entry_high_pct,stop_pct,failure_buffer_pct,take_profit_pct,max_hold_days,min_ret20_pct,min_rel20_pct,status_counts_json
base_sr_hold2_e-2_0,recent,2024-09-01,2025-03-31,58,37,238,142,113,0.4424778761061947,0.787882743500457,-0.4366812227074354,-2.9013539651837594,2.7665317139001355,22.616822429906545,-8.000000000000002,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 100, ""stop_hit"": 4, ""weak_open_skip"": 4}"
entry_deeper_e-3_0,recent,2024-09-01,2025-03-31,58,37,238,142,117,0.4444444444444444,0.7132191638536238,-0.4366812227074354,-3.015075376884425,2.7665317139001355,22.616822429906545,-8.000000000000002,2.0,20,14.0,2.0,1.25,-3.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 102, ""stop_hit"": 6}"
entry_tighter_e-1_0,recent,2024-09-01,2025-03-31,58,37,238,142,102,0.4411764705882353,0.7559327139942797,-0.913407769745073,-2.827094474153298,2.5630658719384543,22.255768012225566,-8.000000000000002,2.0,20,14.0,2.0,1.25,-1.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 5, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 94, ""stop_hit"": 3, ""weak_open_skip"": 15}"
allow_small_chase_e-2_1,recent,2024-09-01,2025-03-31,58,37,238,142,115,0.43478260869565216,0.5098322106636978,-0.5893909626719106,-3.120132398753902,2.085838775156805,22.616822429906545,-8.599107333413757,2.0,20,14.0,2.0,1.25,-2.0,1.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 20, ""limit_up_buy_blocked"": 3, ""max_hold"": 101, ""stop_hit"": 5, ""weak_open_skip"": 4}"
strict_base_range10,recent,2024-09-01,2025-03-31,58,23,47,47,41,0.4878048780487805,0.5403066425987693,0.0,-3.211991434689515,3.1830642704843,19.950020824656413,-8.23412698412699,2.0,20,10.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 4, ""gap_up_skip"": 4, ""limit_up_buy_blocked"": 1, ""max_hold"": 34, ""stop_hit"": 3, ""weak_open_skip"": 1}"
strict_breakout3,recent,2024-09-01,2025-03-31,58,37,192,133,105,0.44761904761904764,0.531287962370181,-0.5893909626719106,-3.015075376884425,2.7665317139001355,19.950020824656413,-8.000000000000002,2.0,20,14.0,3.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 7, ""gap_up_skip"": 21, ""limit_up_buy_blocked"": 3, ""max_hold"": 94, ""stop_hit"": 4, ""weak_open_skip"": 4}"
stronger_ret15_rel8,recent,2024-09-01,2025-03-31,58,25,62,57,41,0.34146341463414637,-0.3707312040579774,-2.521008403361341,-4.848046309696092,1.5004413062665483,16.66026758025932,-8.000000000000002,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,2,15.0,8.0,"{""breakout_failed"": 2, ""gap_up_skip"": 12, ""limit_up_buy_blocked"": 1, ""max_hold"": 36, ""stop_hit"": 3, ""weak_open_skip"": 3}"
stop5,recent,2024-09-01,2025-03-31,58,37,238,142,113,0.4247787610619469,0.7503954597406208,-0.6854650257049494,-3.049999999999997,2.7665317139001355,22.616822429906545,-7.685098406747894,2.0,20,14.0,2.0,1.25,-2.0,0.0,-5.0,0.0,0.0,2,10.0,5.0,"{""breakout_failed"": 3, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 88, ""stop_hit"": 22, ""weak_open_skip"": 4}"
take_profit3,recent,2024-09-01,2025-03-31,58,37,238,142,113,0.48672566371681414,-0.47129605982729394,-0.3164556962025361,-2.9013539651837594,3.0,3.0,-8.000000000000002,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,3.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 56, ""stop_hit"": 4, ""take_profit"": 44, ""weak_open_skip"": 4}"
take_profit5,recent,2024-09-01,2025-03-31,58,37,238,142,113,0.45132743362831856,-0.19302007315902478,-0.4366812227074354,-2.9013539651837594,5.0,5.0,-8.000000000000002,2.0,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,2,10.0,5.0,"{""breakout_failed"": 9, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 71, ""stop_hit"": 4, ""take_profit"": 29, ""weak_open_skip"": 4}"
hold3,recent,2024-09-01,2025-03-31,58,37,238,142,113,0.46017699115044247,1.2477366380856678,-0.7323026851098443,-3.8092381523695353,3.4437086092715203,34.953271028037385,-8.000000000000004,2.8584070796460175,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,0.0,3,10.0,5.0,"{""breakout_failed"": 16, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 89, ""stop_hit"": 8, ""weak_open_skip"": 4}"
hold3_tp5,recent,2024-09-01,2025-03-31,58,37,238,142,113,0.48672566371681414,-0.08274662192368737,-0.35009819827511396,-3.8092381523695353,5.0,5.0,-8.000000000000004,2.601769911504425,20,14.0,2.0,1.25,-2.0,0.0,-8.0,0.0,5.0,3,10.0,5.0,"{""breakout_failed"": 14, ""gap_up_skip"": 22, ""limit_up_buy_blocked"": 3, ""max_hold"": 53, ""stop_hit"": 8, ""take_profit"": 38, ""weak_open_skip"": 4}"
