config_name,window,start,end,eligible_days,signal_days,raw_signals,candidates,triggered,win_rate,avg_pnl,median_pnl,p25_pnl,p75_pnl,max_pnl,min_pnl,open_entry_low_pct,open_entry_high_pct,base_triggered,base_avg_pnl,base_median_pnl,status_counts_json
open_m3_0,2019,2019-01-01,2019-12-31,79,22,38,35,16,0.5625,0.6567632059665175,0.2895371070718955,-0.8417618077597209,1.558022489368211,7.8333333333333295,-3.7572254335260236,-3.0,0.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 2, ""gap_up_skip"": 16, ""max_hold"": 14, ""no_data"": 2, ""weak_open_skip"": 1}"
open_m2_0,2019,2019-01-01,2019-12-31,79,22,38,35,15,0.6,0.9510291152660203,0.45523520485584595,-0.7062987958184468,1.7757823966795432,7.8333333333333295,-3.111111111111108,-2.0,0.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 16, ""max_hold"": 14, ""no_data"": 2, ""weak_open_skip"": 2}"
open_m1_0,2019,2019-01-01,2019-12-31,79,22,38,35,13,0.6153846153846154,1.0885190290485176,0.45523520485584595,-0.6550218340611408,2.2113022113022076,7.8333333333333295,-3.111111111111108,-1.0,0.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 16, ""max_hold"": 12, ""no_data"": 2, ""weak_open_skip"": 4}"
open_m3_p1,2019,2019-01-01,2019-12-31,79,22,38,35,25,0.68,0.7702338227834964,0.45523520485584595,-0.6550218340611408,1.5639374425022994,7.8333333333333295,-3.7572254335260236,-3.0,1.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 2, ""gap_up_skip"": 7, ""max_hold"": 23, ""no_data"": 2, ""weak_open_skip"": 1}"
open_m2_p1,2019,2019-01-01,2019-12-31,79,22,38,35,24,0.7083333333333334,0.9588779584630598,0.6387581859822932,-0.24261059870219162,1.577110125756634,7.8333333333333295,-3.111111111111108,-2.0,1.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 7, ""max_hold"": 23, ""no_data"": 2, ""weak_open_skip"": 2}"
open_m1_p1,2019,2019-01-01,2019-12-31,79,22,38,35,22,0.7272727272727273,1.0408355296251754,0.6387581859822932,-0.06217735499678003,1.6034554922653026,7.8333333333333295,-3.111111111111108,-1.0,1.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 7, ""max_hold"": 21, ""no_data"": 2, ""weak_open_skip"": 4}"
open_m3_p2,2019,2019-01-01,2019-12-31,79,22,38,35,28,0.7142857142857143,1.0458656165000666,0.9130710854848751,-0.24261059870219162,2.1204284267641555,7.8333333333333295,-3.7572254335260236,-3.0,2.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 2, ""gap_up_skip"": 4, ""max_hold"": 26, ""no_data"": 2, ""weak_open_skip"": 1}"
open_m2_p2,2019,2019-01-01,2019-12-31,79,22,38,35,27,0.7407407407407407,1.223757877612144,1.0038610038610098,-0.019214523077684828,2.1507196882768396,7.8333333333333295,-3.111111111111108,-2.0,2.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 4, ""max_hold"": 26, ""no_data"": 2, ""weak_open_skip"": 2}"
open_m1_p2,2019,2019-01-01,2019-12-31,79,22,38,35,25,0.76,1.3170709337667323,1.0038610038610098,0.06671114076050558,2.2113022113022076,7.8333333333333295,-3.111111111111108,-1.0,2.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 4, ""max_hold"": 24, ""no_data"": 2, ""weak_open_skip"": 4}"
open_m3_p3,2019,2019-01-01,2019-12-31,79,22,38,35,29,0.6896551724137931,1.0020956405121046,0.8222811671087404,-0.22346368715083326,2.0901371652514715,7.8333333333333295,-3.7572254335260236,-3.0,3.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 2, ""gap_up_skip"": 3, ""max_hold"": 27, ""no_data"": 2, ""weak_open_skip"": 1}"
open_m2_p3,2019,2019-01-01,2019-12-31,79,22,38,35,28,0.7142857142857143,1.1720713931563236,0.9130710854848751,-0.13472106197461475,2.1204284267641555,7.8333333333333295,-3.111111111111108,-2.0,3.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 3, ""max_hold"": 27, ""no_data"": 2, ""weak_open_skip"": 2}"
open_m1_p3,2019,2019-01-01,2019-12-31,79,22,38,35,26,0.7307692307692307,1.25781960219298,0.9130710854848751,-0.06217735499678003,2.1810109497895236,7.8333333333333295,-3.111111111111108,-1.0,3.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 3, ""max_hold"": 25, ""no_data"": 2, ""weak_open_skip"": 4}"
open_0_p1,2019,2019-01-01,2019-12-31,79,22,38,35,13,0.6923076923076923,0.3261432809215764,0.4371584699453458,-0.694444444444442,1.3097072419106313,3.2963647566235452,-3.111111111111108,0.0,1.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 7, ""max_hold"": 12, ""no_data"": 2, ""weak_open_skip"": 13}"
open_0_p2,2019,2019-01-01,2019-12-31,79,22,38,35,16,0.75,0.8917658965246842,0.7295481043584279,-0.1235777555407313,1.7350054229525957,4.292421193829648,-3.111111111111108,0.0,2.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 4, ""max_hold"": 15, ""no_data"": 2, ""weak_open_skip"": 13}"
open_0_p3,2019,2019-01-01,2019-12-31,79,22,38,35,17,0.7058823529411765,0.8261641563084772,0.45523520485584595,-0.22346368715083326,1.6166281755196372,4.292421193829648,-3.111111111111108,0.0,3.0,25,1.06034350133814,0.8222811671087404,"{""breakout_failed"": 1, ""gap_up_skip"": 3, ""max_hold"": 16, ""no_data"": 2, ""weak_open_skip"": 13}"
open_m3_0,2020,2020-01-01,2020-12-31,115,40,57,57,25,0.6,1.9633601691896185,0.5633802816901414,-1.20833333333333,2.7114967462039044,22.702702702702698,-2.7649769585253483,-3.0,0.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 29, ""max_hold"": 25, ""weak_open_skip"": 3}"
open_m2_0,2020,2020-01-01,2020-12-31,115,40,57,57,21,0.6190476190476191,2.277507055790273,0.5633802816901414,-1.0854341736694635,2.6395939086294398,22.702702702702698,-2.1949644932214323,-2.0,0.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 29, ""max_hold"": 21, ""weak_open_skip"": 7}"
open_m1_0,2020,2020-01-01,2020-12-31,115,40,57,57,14,0.5714285714285714,1.393669086685157,0.11335904601337742,-1.041873869801082,2.2604646622413105,10.535714285714299,-2.1949644932214323,-1.0,0.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 29, ""max_hold"": 14, ""weak_open_skip"": 14}"
open_m3_p1,2020,2020-01-01,2020-12-31,115,40,57,57,39,0.5897435897435898,1.712450875725753,0.7936507936507908,-1.0085981501397514,2.95554839809882,22.702702702702698,-2.7649769585253483,-3.0,1.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 15, ""max_hold"": 39, ""weak_open_skip"": 3}"
open_m2_p1,2020,2020-01-01,2020-12-31,115,40,57,57,35,0.6,1.872263659861704,0.7936507936507908,-0.7371288029071893,3.0439348853492056,22.702702702702698,-2.4777006937561943,-2.0,1.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 15, ""max_hold"": 35, ""weak_open_skip"": 7}"
open_m1_p1,2020,2020-01-01,2020-12-31,115,40,57,57,28,0.5714285714285714,1.3290338263270038,0.3405829559216301,-0.6398121410557642,2.8417643969893227,10.535714285714299,-2.4777006937561943,-1.0,1.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 15, ""max_hold"": 28, ""weak_open_skip"": 14}"
open_m3_p2,2020,2020-01-01,2020-12-31,115,40,57,57,48,0.625,2.064178958878829,0.8384920634920631,-0.6398121410557642,3.4798824235911434,22.702702702702698,-8.000000000000002,-3.0,2.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 6, ""max_hold"": 47, ""stop_hit"": 1, ""weak_open_skip"": 3}"
open_m2_p2,2020,2020-01-01,2020-12-31,115,40,57,57,44,0.6363636363636364,2.22327804472816,0.8384920634920631,-0.5237779813594527,3.6203485418178745,22.702702702702698,-8.000000000000002,-2.0,2.0,47,1.270183361930708,0.8833333333333353,"{""gap_up_skip"": 6, ""max_hold"": 43, ""stop_hit"": 1, ""weak_open_skip"": 7}"
