trade_date,open,high,low,close,volume
2025-01-02,2.163,2.185,2.16,2.183,157955888
2025-01-03,2.181,2.186,2.167,2.17,114123700
2025-01-06,2.188,2.213,2.188,2.211,184899500
2025-01-07,2.22,2.238,2.18,2.193,300040890
2025-01-08,2.172,2.197,2.17,2.19,141185076
2025-01-09,2.193,2.2,2.184,2.186,95548300
2025-01-10,2.181,2.198,2.172,2.173,135275300
2025-01-13,2.152,2.16,2.135,2.139,112882600
2025-01-14,2.152,2.164,2.146,2.162,114990767
2025-01-15,2.161,2.167,2.152,2.158,74916900
2025-01-16,2.198,2.2,2.187,2.193,118213000
2025-01-17,2.189,2.192,2.177,2.191,65620300
2025-01-20,2.202,2.207,2.197,2.201,96015400
2025-01-21,2.202,2.203,2.193,2.2,66200890
2025-01-22,2.212,2.22,2.209,2.218,92738323
2025-01-23,2.225,2.228,2.204,2.205,125912000
2025-01-24,2.214,2.22,2.212,2.214,99562100
2025-01-27,2.2,2.2,2.165,2.196,248410800
2025-02-05,2.191,2.195,2.178,2.192,89492900
2025-02-06,2.2,2.203,2.195,2.198,71273500
2025-02-07,2.198,2.201,2.187,2.192,93473901
2025-02-10,2.18,2.188,2.17,2.187,101311746
2025-02-11,2.187,2.192,2.18,2.183,66316900
2025-02-12,2.183,2.185,2.17,2.175,58402600
2025-02-13,2.179,2.179,2.165,2.172,75659200
2025-02-14,2.18,2.184,2.171,2.173,91201700
2025-02-17,2.172,2.172,2.16,2.17,75700490
2025-02-18,2.17,2.189,2.167,2.185,69309299
2025-02-19,2.185,2.185,2.175,2.176,59785392
2025-02-20,2.18,2.181,2.173,2.174,46470500
2025-02-21,2.168,2.168,2.15,2.154,121786400
2025-02-24,2.118,2.138,2.112,2.125,148129500
2025-02-25,2.11,2.116,2.092,2.094,142263900
2025-02-26,2.092,2.092,2.077,2.091,166649000
2025-02-27,2.089,2.089,2.079,2.084,136734410
2025-02-28,2.05,2.051,2.028,2.032,303834310
2025-03-03,2.052,2.071,2.052,2.07,227909200
2025-03-04,2.034,2.034,2.028,2.031,163766800
2025-03-05,2.015,2.027,2.011,2.024,215123700
2025-03-06,2.031,2.034,2.022,2.025,122919900
2025-03-07,2.0,2.006,1.998,2.001,143689214
2025-03-10,1.998,2.004,1.995,1.999,86861100
2025-03-11,1.937,1.949,1.931,1.949,229853522
2025-03-12,1.938,1.941,1.93,1.938,165050326
2025-03-13,1.944,1.947,1.927,1.932,130085536
2025-03-14,1.92,1.931,1.917,1.93,195437900
2025-03-17,1.94,1.943,1.928,1.929,164782900
2025-03-18,1.938,1.949,1.938,1.948,209332900
2025-03-19,1.935,1.935,1.928,1.933,81449300
2025-03-20,1.955,1.983,1.951,1.981,317833400
2025-03-21,1.979,1.979,1.962,1.973,225609900
2025-03-24,1.984,1.999,1.983,1.999,250726500
2025-03-25,2.025,2.026,2.01,2.017,245137082
2025-03-26,2.028,2.028,2.008,2.011,174617267
2025-03-27,1.98,1.986,1.98,1.983,162204763
2025-03-28,1.974,1.976,1.962,1.963,156470500
2025-03-31,1.91,1.92,1.906,1.907,200172210
2025-04-01,1.917,1.939,1.917,1.937,224876800
2025-04-02,1.94,1.942,1.936,1.937,196688820
2025-04-03,1.903,1.912,1.895,1.897,341612079
2025-04-07,1.707,1.725,1.707,1.707,565543198
2025-04-08,1.737,1.793,1.737,1.776,508264722
2025-04-09,1.707,1.729,1.695,1.722,742004800
2025-04-10,1.881,1.888,1.831,1.886,670170000
2025-04-11,1.807,1.849,1.802,1.841,620956300
2025-04-14,1.864,1.875,1.857,1.872,296373100
2025-04-15,1.868,1.869,1.863,1.865,151508800
2025-04-16,1.854,1.854,1.835,1.842,215409400
2025-04-17,1.831,1.84,1.826,1.835,263281400
2025-04-18,1.826,1.832,1.823,1.829,92876400
2025-04-21,1.811,1.815,1.804,1.806,184173400
2025-04-22,1.792,1.804,1.787,1.803,220236800
2025-04-23,1.846,1.858,1.842,1.855,528281800
2025-04-24,1.855,1.859,1.846,1.846,313739600
2025-04-25,1.891,1.898,1.889,1.895,377617500
2025-04-28,1.892,1.902,1.889,1.901,232921200
2025-04-29,1.903,1.907,1.895,1.897,213983100
2025-04-30,1.903,1.903,1.897,1.9,169831410
2025-05-06,1.922,1.927,1.915,1.918,198892000
2025-05-07,1.92,1.925,1.919,1.922,131077330
2025-05-08,1.931,1.942,1.93,1.94,239835800
2025-05-09,1.94,1.944,1.937,1.942,153470945
2025-05-12,1.964,1.966,1.957,1.963,237222500
