trade_date,open,high,low,close,volume
2025-01-02,510.499,512.822,501.973,506.46,36389783
2025-01-03,509.556,515.805,508.743,514.748,29059520
2025-01-06,520.148,524.019,518.172,520.664,36109734
2025-01-07,521.706,522.103,509.487,511.373,36690272
2025-01-08,511.274,513.1,506.797,511.462,30777777
2025-01-10,507.7,507.8,500.196,503.442,40532495
2025-01-13,497.496,502.281,496.007,501.824,31694210
2025-01-14,504.981,506.385,497.883,501.348,33737237
2025-01-15,509.239,514.023,507.68,512.882,34957554
2025-01-16,515.145,515.224,509.159,509.288,28229037
2025-01-17,518.986,520.201,509.317,517.884,51837941
2025-01-21,520.604,522.083,516.217,520.922,23627971
2025-01-22,525.657,529.875,525.349,527.582,33592988
2025-01-23,525.131,528.823,524.545,528.704,23096588
2025-01-24,529.081,529.845,524.247,525.716,19878251
2025-01-27,507.224,514.162,506.38,510.41,60771695
2025-01-28,511.413,519.135,507.998,517.954,33194214
2025-01-29,518.599,518.728,513.079,516.981,26649011
2025-01-30,519.84,522.207,514.381,519.185,27431302
2025-01-31,523.026,527.59,517.339,518.43,38845467
2025-02-03,509.676,517.001,507.273,514.281,40580835
2025-02-04,514.797,521.23,514.4,520.594,26046753
2025-02-05,517.964,523.116,516.773,522.957,21134070
2025-02-06,523.463,525.895,521.856,525.686,19434454
2025-02-07,526.222,528.168,518.331,519.056,29605470
2025-02-10,523.324,526.438,522.857,525.339,20852784
2025-02-11,522.073,526.004,521.944,524.088,19325500
2025-02-12,518.44,525.279,518.093,524.396,25009362
2025-02-13,526.064,532.257,525.279,531.94,28714799
2025-02-14,532.044,534.858,531.712,534.173,17862572
2025-02-18,535.742,536.01,532.079,535.384,20565028
2025-02-19,534.59,536.814,532.496,535.533,19666861
2025-02-20,534.749,535.116,528.525,533.26,26550753
2025-02-21,534.401,534.421,521.825,522.192,47093750
2025-02-24,523.979,525.159,515.691,516.028,39268392
2025-02-25,515.403,515.482,505.675,509.527,48940025
2025-02-26,511.72,515.82,507.591,510.758,34457618
2025-02-27,514.301,515.234,496.355,496.573,52447966
2025-02-28,496.434,505.02,493.258,504.415,47654043
2025-03-03,507.74,509.249,489.933,493.377,44587204
2025-03-04,490.528,500.017,484.131,491.888,67875402
2025-03-05,492.533,499.908,487.63,498.3,46323725
2025-03-06,490.042,494.896,482.607,484.592,57574332
2025-03-07,483.56,489.635,476.979,488.156,54714726
2025-03-10,479.877,480.394,465.197,469.237,76668029
2025-03-11,468.859,475.267,463.559,468.115,68760771
2025-03-12,475.619,477.505,468.304,473.396,46971082
2025-03-13,472.731,472.761,462.983,464.879,46563349
2025-03-14,470.229,477.009,469.624,476.115,43563010
2025-03-17,476.066,482.25,474.269,479.202,41744354
2025-03-18,475.867,476.066,468.919,471.033,39072265
2025-03-19,473.286,481.744,471.361,477.336,40430334
2025-03-20,473.356,480.969,472.661,475.718,36780549
2025-03-21,470.577,478.051,469.41,477.287,42234874
2025-03-24,484.857,488.605,481.537,487.76,34567186
2025-03-25,488.486,490.703,487.522,490.544,26035241
2025-03-26,489.39,490.245,479.966,481.517,35043357
2025-03-27,479.559,483.704,477.412,478.774,33469817
2025-03-28,476.974,477.68,465.284,466.169,46363797
2025-03-31,459.19,467.083,454.627,466.149,53000303
2025-04-01,464.538,470.831,461.675,469.906,41156226
2025-04-02,463.365,476.726,463.107,473.336,49894489
2025-04-03,453.742,457.351,447.48,447.997,70456338
2025-04-04,435.551,437.767,420.172,420.172,117088441
2025-04-07,406.245,440.521,400.012,421.186,161556970
2025-04-08,435.57,440.519,407.368,413.601,101248060
2025-04-09,413.114,465.065,412.975,463.246,142876878
2025-04-10,450.879,452.897,430.073,443.543,108384092
2025-04-11,442.022,453.096,438.722,451.714,52483779
2025-04-14,461.715,462.301,449.955,454.776,43941179
2025-04-15,455.83,459.647,453.454,455.283,35404210
2025-04-16,446.376,449.945,435.173,441.555,48980552
2025-04-17,444.527,445.104,438.752,441.475,44837047
2025-04-21,435.64,436.485,425.401,430.55,44149313
2025-04-22,436.227,444.935,435.034,441.853,52304388
2025-04-23,455.462,460.641,450.203,451.873,55801136
2025-04-24,453.782,464.896,453.136,464.588,45956136
2025-04-25,464.21,470.294,462.639,469.767,38697063
2025-04-28,470.234,472.002,463.276,469.618,33550778
2025-04-29,467.391,473.609,466.815,472.72,30613120
2025-04-30,464.369,474.38,459.697,472.66,46810610
2025-05-01,480.553,484.301,477.899,478.833,43316539
2025-05-02,483.664,488.009,481.965,485.941,39218082
2025-05-05,481.736,486.14,481.239,483.058,28309490
2025-05-06,476.726,482.183,475.364,478.565,32786310
2025-05-07,479.231,482.929,473.964,480.444,38109864
2025-05-08,485.643,489.788,481.308,485.404,39577592
2025-05-09,487.313,488.635,483.322,485.086,27767416
2025-05-12,503.994,504.888,498.516,504.849,45090616
2025-05-13,506.151,514.332,505.415,512.543,53269573
2025-05-14,513.716,516.159,512.702,515.615,47014516
2025-05-15,513.467,518.845,512.125,516.181,50153275
2025-05-16,517.583,518.617,514.044,518.428,48394603
2025-05-19,511.201,519.442,511.201,518.925,52536154
2025-05-20,516.4,517.851,513.606,517.195,42517561
2025-05-21,513.219,519.909,508.219,510.008,71292831
2025-05-22,510.624,514.65,509.272,510.962,55607169
2025-05-23,503.188,508.815,502.592,506.23,58368075
2025-05-27,513.099,518.627,511.549,518.14,47226323
2025-05-28,519.094,520.585,515.326,515.843,46637175
2025-05-29,523.219,523.368,514.263,516.857,58724069
2025-05-30,516.37,517.603,508.904,516.042,67662836
2025-06-02,514.183,520.356,512.921,520.118,44762817
2025-06-03,520.466,525.615,519.601,524.184,44070330
2025-06-04,524.889,526.709,522.861,525.645,41359322
2025-06-05,527.047,529.9,519.571,521.688,61286623
2025-06-06,526.868,528.657,525.088,526.788,42467021
2025-06-09,527.007,529.204,525.883,527.563,33688671
2025-06-10,528.031,531.739,525.764,531.053,40664795
2025-06-11,532.454,533.608,526.977,529.263,53701033
2025-06-12,527.951,531.484,527.703,530.506,34104887
2025-06-13,524.561,528.727,522.623,523.846,55814443
2025-06-16,527.365,532.206,527.315,531.132,37622051
2025-06-17,528.568,530.173,524.79,525.953,42180866
2025-06-18,526.967,529.403,524.283,525.864,43983522
2025-06-20,529.114,530.407,521.778,523.716,61643519
2025-06-23,524.285,529.619,521.14,529.102,50666146
2025-06-24,534.316,538.108,533.699,537.193,45441982
2025-06-25,539.462,540.706,536.794,538.566,44804168
2025-06-26,540.745,544.05,538.924,543.602,43811432
2025-06-27,544.637,547.354,541.935,545.463,57577147
2025-06-30,548.618,550.15,546.378,548.996,45548742
2025-07-01,547.095,548.07,542.049,544.368,56166736
2025-07-02,543.542,548.359,543.502,548.16,36538281
2025-07-03,550.528,554.529,550.528,553.554,26443524
2025-07-07,550.867,551.683,546.946,549.384,45349323
2025-07-08,550.727,551.354,548.458,549.692,36153258
2025-07-09,551.822,554.957,550.449,553.584,43045534
2025-07-10,554.221,554.629,550.1,552.787,34710913
2025-07-11,550.648,553.126,549.404,551.543,39618635
2025-07-14,551.334,554.275,548.986,553.544,36453314
2025-07-15,557.564,558.112,553.992,554.051,43277661
2025-07-16,554.609,557.525,548.916,554.619,52314711
2025-07-17,555.345,559.615,554.539,559.107,40423778
2025-07-18,560.421,562.019,557.296,558.57,50484704
2025-07-21,559.396,563.347,559.366,561.466,39595214
2025-07-22,561.595,561.645,555.932,558.56,43270647
2025-07-23,559.644,561.147,556.898,561.107,40215259
2025-07-24,562.421,563.526,560.595,562.302,42275541
2025-07-25,562.222,564.974,561.565,563.655,30630813
2025-07-28,565.019,566.312,564.153,565.417,31498739
2025-07-29,568.024,569.368,563.814,564.541,45463317
2025-07-30,565.456,567.885,562.341,565.297,43433777
2025-07-31,571.786,571.876,561.167,562.302,64613590
2025-08-01,556.151,556.34,549.036,551.225,69400789
2025-08-04,556.37,561.61,556.271,561.396,47669751
2025-08-05,562.68,563.845,557.047,557.584,48666640
2025-08-06,558.42,565.038,557.943,564.601,41823677
2025-08-07,568.93,570.572,562.401,566.511,44462972
2025-08-08,567.716,572.015,567.417,571.796,35255472
2025-08-11,571.935,574.035,568.83,570.104,33112917
2025-08-12,572.403,577.568,569.741,577.27,42271441
2025-08-13,579.967,580.524,576.165,577.558,41209294
2025-08-14,575.508,579.091,575.14,577.11,45425043
2025-08-15,577.021,577.061,572.815,574.573,49480161
2025-08-18,573.677,574.995,572.484,574.344,29830957
2025-08-19,573.627,573.796,565.526,566.551,53752635
2025-08-20,565.606,565.725,556.161,563.187,76781087
2025-08-21,561.645,563.775,558.291,560.58,46436899
2025-08-22,561.963,571.239,560.57,569.228,51502129
2025-08-25,567.666,570.539,566.432,567.586,34044749
2025-08-26,567.099,570.174,566.073,569.865,34103014
2025-08-27,568.85,571.652,567.636,570.741,36927144
2025-08-28,571.358,575.229,569.716,574.314,46787857
2025-08-29,571.9,572.274,565.815,567.666,56030409
2025-09-02,558.619,563.252,556.853,562.909,65876765
2025-09-03,566.501,568.955,564.008,567.337,54230213
2025-09-04,568.004,572.841,566.297,572.473,47526280
2025-09-05,577.707,578.334,568.79,573.299,68342532
2025-09-08,575.598,578.056,575.0,576.095,46371354
2025-09-09,576.891,578.155,574.274,577.727,44007592
2025-09-10,580.942,580.972,575.777,577.916,49307959
2025-09-11,580.444,582.076,578.832,581.28,44745766
2025-09-12,582.236,585.042,581.3,583.848,50745886
