hypo,factor,target,horizon,mode,ic,qmono,n
H1_rate_recession,fed_no_cut_2026,000300.SH,5,level,0.057347417882421585,0.19999999999999998,173
H1_rate_recession,fed_no_cut_2026,000300.SH,5,diff,0.14050551767950065,0.6,172
H1_rate_recession,fed_no_cut_2026,000300.SH,10,level,0.12420775646888699,0.19999999999999998,168
H1_rate_recession,fed_no_cut_2026,000300.SH,10,diff,0.10156662148090319,0.6,167
H1_rate_recession,fed_no_cut_2026,000300.SH,20,level,0.09843958340270705,0.49999999999999994,158
H1_rate_recession,fed_no_cut_2026,000300.SH,20,diff,0.10341175264937677,0.6,157
H1_rate_recession,fed_no_cut_2026,000001.SH,5,level,-0.09681035089458497,-0.7,173
H1_rate_recession,fed_no_cut_2026,000001.SH,5,diff,0.08865559065166562,-0.09999999999999999,172
H1_rate_recession,fed_no_cut_2026,000001.SH,10,level,-0.0697208334021709,-0.6,168
H1_rate_recession,fed_no_cut_2026,000001.SH,10,diff,0.024578514153284436,-0.09999999999999999,167
H1_rate_recession,fed_no_cut_2026,000001.SH,20,level,-0.14842170594285178,-0.19999999999999998,158
H1_rate_recession,fed_no_cut_2026,000001.SH,20,diff,0.05183150778469677,0.19999999999999998,157
H1_rate_recession,fed_no_cut_2026,QQQ,5,level,0.19852843393738714,0.6,183
H1_rate_recession,fed_no_cut_2026,QQQ,5,diff,0.15846659369778096,0.9999999999999999,179
H1_rate_recession,fed_no_cut_2026,QQQ,10,level,0.21968843872733598,0.49999999999999994,178
H1_rate_recession,fed_no_cut_2026,QQQ,10,diff,0.10464518533436142,0.49999999999999994,174
H1_rate_recession,fed_no_cut_2026,QQQ,20,level,0.3299382618907485,0.49999999999999994,168
H1_rate_recession,fed_no_cut_2026,QQQ,20,diff,0.2255255138064963,0.7,164
H1_rate_recession,fed_no_cut_2026,SPY,5,level,0.08783308201284894,0.09999999999999999,172
H1_rate_recession,fed_no_cut_2026,SPY,5,diff,0.06973259361948314,0.3,171
H1_rate_recession,fed_no_cut_2026,SPY,10,level,0.15510480019488052,0.6,167
H1_rate_recession,fed_no_cut_2026,SPY,10,diff,-0.012575117914415523,-0.09999999999999999,166
